,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
105,artifacts,a_3_bk_2,1,bed_to_keychain_app_original_comp_changed,bed_to_keychain,bed,keychain,original,bed,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a keychain because a bed,keychain,"keychain, not a bed",keychain
105,artifacts,a_3_bk_2,2,bed_to_keychain_app_original_comp_changed,bed_to_keychain,bed,keychain,original,bed,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a bed.
Reason:",bed,a keychain. First of,keychain
105,artifacts,a_3_bk_2,3,bed_to_keychain_app_original_comp_changed,bed_to_keychain,bed,keychain,original,bed,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a bed.
In my opinion",bed,"a keychain, because the",keychain
105,artifacts,a_3_bk_2,4,bed_to_keychain_app_original_comp_changed,bed_to_keychain,bed,keychain,original,bed,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a bed because it looks like,bed,a keychain. The special,keychain
105,artifacts,a_3_bk_2,5,bed_to_keychain_app_original_comp_changed,bed_to_keychain,bed,keychain,original,bed,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a keychain. The reason,keychain,a keychain. Because it,keychain
106,artifacts,a_3_bk_3,1,bed_to_keychain_app_new_comp_preserved,bed_to_keychain,bed,keychain,new,keychain,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a keychain. Because,",keychain,both a bed and a key,unsure
106,artifacts,a_3_bk_3,2,bed_to_keychain_app_new_comp_preserved,bed_to_keychain,bed,keychain,new,keychain,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a bed.
Explanation:",bed,both a bed and a key,unsure
106,artifacts,a_3_bk_3,3,bed_to_keychain_app_new_comp_preserved,bed_to_keychain,bed,keychain,new,keychain,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,keychain because it looks like,keychain,both a bed and a key,unsure
106,artifacts,a_3_bk_3,4,bed_to_keychain_app_new_comp_preserved,bed_to_keychain,bed,keychain,new,keychain,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a keychain. Because the,keychain,"keychain.
If I were",keychain
106,artifacts,a_3_bk_3,5,bed_to_keychain_app_new_comp_preserved,bed_to_keychain,bed,keychain,new,keychain,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of plastic, rubber or leather. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a keychain, not a",keychain,"a keychain.
Reason:",keychain
107,artifacts,a_3_bk_4,1,bed_to_keychain_app_new_comp_changed,bed_to_keychain,bed,keychain,new,keychain,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a keychain because it looks,keychain,a bed because it is made,bed
107,artifacts,a_3_bk_4,2,bed_to_keychain_app_new_comp_changed,bed_to_keychain,bed,keychain,new,keychain,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a keychain. Because,",keychain,a keychain because it was,keychain
107,artifacts,a_3_bk_4,3,bed_to_keychain_app_new_comp_changed,bed_to_keychain,bed,keychain,new,keychain,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a keychain.
My reason",keychain,"a keychain, because it",keychain
107,artifacts,a_3_bk_4,4,bed_to_keychain_app_new_comp_changed,bed_to_keychain,bed,keychain,new,keychain,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,a keychain. I think,keychain,a keychain. Because the,keychain
107,artifacts,a_3_bk_4,5,bed_to_keychain_app_new_comp_changed,bed_to_keychain,bed,keychain,new,keychain,changed,keychain,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After the special procedure, the thing looked like a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a keychain. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of plastic, rubber or leather. After the special procedure, the thing looked like a keychain.",Is the thing after the special operation a bed or a keychain?,The thing after the special operation is,"a bed, because the key",bed,both a bed and a key,unsure
108,artifacts,a_4_mb_1,1,microwave_to_bed_app_original_comp_preserved,microwave_to_bed,microwave,bed,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave, because the thing",microwave,a microwave. Although the thing,microwave
108,artifacts,a_4_mb_1,2,microwave_to_bed_app_original_comp_preserved,microwave_to_bed,microwave,bed,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave, because the procedure",microwave,a microwave because the microwave is,microwave
108,artifacts,a_4_mb_1,3,microwave_to_bed_app_original_comp_preserved,microwave_to_bed,microwave,bed,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave because the microwave is,microwave,"a microwave, because it can",microwave
108,artifacts,a_4_mb_1,4,microwave_to_bed_app_original_comp_preserved,microwave_to_bed,microwave,bed,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. The answer is,microwave,"a microwave, because microwave is",microwave
108,artifacts,a_4_mb_1,5,microwave_to_bed_app_original_comp_preserved,microwave_to_bed,microwave,bed,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave because it is made,microwave,a microwave. The question says,microwave
109,artifacts,a_4_mb_2,1,microwave_to_bed_app_original_comp_changed,microwave_to_bed,microwave,bed,original,microwave,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. The reason is,microwave,a microwave. Because the microwave,microwave
109,artifacts,a_4_mb_2,2,microwave_to_bed_app_original_comp_changed,microwave_to_bed,microwave,bed,original,microwave,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave, because it can",microwave,a microwave because the microwave has,microwave
109,artifacts,a_4_mb_2,3,microwave_to_bed_app_original_comp_changed,microwave_to_bed,microwave,bed,original,microwave,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. The microwave after,microwave,"a microwave, because it can",microwave
109,artifacts,a_4_mb_2,4,microwave_to_bed_app_original_comp_changed,microwave_to_bed,microwave,bed,original,microwave,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. Because the thing,microwave,"a microwave, because the microwave",microwave
109,artifacts,a_4_mb_2,5,microwave_to_bed_app_original_comp_changed,microwave_to_bed,microwave,bed,original,microwave,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. Because the thing,microwave,a microwave. The reason is,microwave
110,artifacts,a_4_mb_3,1,microwave_to_bed_app_new_comp_preserved,microwave_to_bed,microwave,bed,new,bed,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a bed. A microwave oven,bed,a microwave. The microwave is,microwave
110,artifacts,a_4_mb_3,2,microwave_to_bed_app_new_comp_preserved,microwave_to_bed,microwave,bed,new,bed,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. The microwave is,microwave,a microwave. Why? Because,microwave
110,artifacts,a_4_mb_3,3,microwave_to_bed_app_new_comp_preserved,microwave_to_bed,microwave,bed,new,bed,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave, because the microwave",microwave,"a microwave.

A:

No",microwave
110,artifacts,a_4_mb_3,4,microwave_to_bed_app_new_comp_preserved,microwave_to_bed,microwave,bed,new,bed,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave.

A:

It",microwave,"a microwave. The metal,",microwave
110,artifacts,a_4_mb_3,5,microwave_to_bed_app_new_comp_preserved,microwave_to_bed,microwave,bed,new,bed,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. If it was,microwave,a microwave. It has all,microwave
111,artifacts,a_4_mb_4,1,microwave_to_bed_app_new_comp_changed,microwave_to_bed,microwave,bed,new,bed,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. Because the thing,microwave,a microwave. Why? The,microwave
111,artifacts,a_4_mb_4,2,microwave_to_bed_app_new_comp_changed,microwave_to_bed,microwave,bed,new,bed,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a bed. The microwave is,bed,a microwave because a microwave is,microwave
111,artifacts,a_4_mb_4,3,microwave_to_bed_app_new_comp_changed,microwave_to_bed,microwave,bed,new,bed,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"microwave because after the operation,",microwave,a microwave. The thing looks,microwave
111,artifacts,a_4_mb_4,4,microwave_to_bed_app_new_comp_changed,microwave_to_bed,microwave,bed,new,bed,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,a microwave. It is a,microwave,"a microwave, because a microwave",microwave
111,artifacts,a_4_mb_4,5,microwave_to_bed_app_new_comp_changed,microwave_to_bed,microwave,bed,new,bed,changed,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a microwave or a bed?,The thing after the special operation is,"a microwave.
The thing after",microwave,"a microwave, because the microwave",microwave
112,artifacts,a_5_ml_1,1,microwave_to_lotion_app_original_comp_preserved,microwave_to_lotion,microwave,lotion,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into lotion. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or lotion?,The thing after the special operation is,"a microwave, because I think",microwave,microwave. Although it looks like,microwave
112,artifacts,a_5_ml_1,2,microwave_to_lotion_app_original_comp_preserved,microwave_to_lotion,microwave,lotion,original,microwave,preserved,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into lotion. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a microwave into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a microwave or lotion?,The thing after the special operation is,"microwave.
If the thing after",microwave,a microwave. I think the,microwave
